Customer,Satisfaction_Overall,Satisfaction_Quality,Satisfaction_Speed,Order_Accurate,Total_Score,Avg_Score,Category_of_Satisfaction
38,5.0,4.0,3.0,1,12.0,4.0,Satisfied
39,2.0,2.0,4.0,0,8.0,2.6666666666666665,Satisfied
40,3.0,3.0,2.0,1,8.0,2.6666666666666665,Satisfied
41,5.0,5.0,5.0,1,15.0,5.0,Satisfied
42,3.0,3.0,3.0,1,9.0,3.0,Neutral
43,4.0,4.0,4.0,1,12.0,4.0,Satisfied
44,5.0,5.0,5.0,1,15.0,5.0,Satisfied
45,2.0,2.0,2.0,1,6.0,2.0,Not satisfied
46,5.0,5.0,5.0,1,15.0,5.0,Satisfied
47,1.0,1.0,1.0,1,3.0,1.0,Not satisfied
48,3.0,3.0,3.0,0,9.0,3.0,Neutral
49,5.0,5.0,5.0,1,15.0,5.0,Satisfied
50,3.0,3.0,3.0,0,9.0,3.0,Neutral
51,5.0,5.0,5.0,1,15.0,5.0,Satisfied
52,2.0,2.0,2.0,1,6.0,2.0,Not satisfied
53,4.0,4.0,4.0,0,12.0,4.0,Satisfied
54,3.0,3.0,3.0,1,9.0,3.0,Neutral
55,1.0,1.0,1.0,1,3.0,1.0,Not satisfied
56,5.0,5.0,5.0,1,15.0,5.0,Satisfied
57,2.0,2.0,2.0,1,6.0,2.0,Not satisfied
58,4.0,4.0,4.0,0,12.0,4.0,Satisfied
59,5.0,5.0,5.0,1,15.0,5.0,Satisfied
60,2.0,2.0,2.0,1,6.0,2.0,Not satisfied
61,5.0,5.0,5.0,1,15.0,5.0,Satisfied
62,3.0,3.0,3.0,0,9.0,3.0,Neutral
63,1.0,1.0,1.0,1,3.0,1.0,Not satisfied
64,5.0,5.0,5.0,1,15.0,5.0,Satisfied
65,3.0,3.0,3.0,1,9.0,3.0,Neutral
66,2.0,2.0,2.0,1,6.0,2.0,Not satisfied
67,2.0,2.0,2.0,0,6.0,2.0,Not satisfied
68,4.0,4.0,4.0,1,12.0,4.0,Satisfied
69,4.0,4.0,4.0,1,12.0,4.0,Satisfied
70,3.0,3.0,3.0,1,9.0,3.0,Neutral
71,5.0,5.0,5.0,1,15.0,5.0,Satisfied
72,3.0,3.0,3.0,0,9.0,3.0,Neutral
73,1.0,1.0,1.0,1,3.0,1.0,Not satisfied
74,5.0,5.0,5.0,1,15.0,5.0,Satisfied
75,5.0,5.0,5.0,1,15.0,5.0,Satisfied
76,2.0,2.0,2.0,1,6.0,2.0,Not satisfied
77,1.0,1.0,1.0,1,3.0,1.0,Not satisfied
78,5.0,5.0,5.0,1,15.0,5.0,Satisfied
79,2.0,2.0,2.0,0,6.0,2.0,Not satisfied
80,3.0,3.0,3.0,1,9.0,3.0,Neutral
81,5.0,5.0,5.0,1,15.0,5.0,Satisfied
82,3.0,3.0,3.0,1,9.0,3.0,Neutral
83,4.0,4.0,4.0,1,12.0,4.0,Satisfied
84,5.0,5.0,5.0,1,15.0,5.0,Satisfied
85,2.0,2.0,2.0,1,6.0,2.0,Not satisfied
86,5.0,5.0,5.0,1,15.0,5.0,Satisfied
87,1.0,1.0,1.0,1,3.0,1.0,Not satisfied
88,3.0,3.0,3.0,0,9.0,3.0,Neutral
89,5.0,5.0,5.0,1,15.0,5.0,Satisfied
90,3.0,3.0,3.0,0,9.0,3.0,Neutral
91,5.0,5.0,5.0,1,15.0,5.0,Satisfied
92,2.0,2.0,2.0,1,6.0,2.0,Not satisfied
93,4.0,4.0,4.0,0,12.0,4.0,Satisfied
94,3.0,3.0,3.0,1,9.0,3.0,Neutral
95,1.0,1.0,1.0,1,3.0,1.0,Not satisfied
96,5.0,5.0,5.0,1,15.0,5.0,Satisfied
97,2.0,2.0,2.0,1,6.0,2.0,Not satisfied
98,4.0,4.0,4.0,0,12.0,4.0,Satisfied
99,5.0,5.0,5.0,1,15.0,5.0,Satisfied
100,2.0,2.0,2.0,1,6.0,2.0,Not satisfied
101,5.0,5.0,5.0,1,15.0,5.0,Satisfied
102,3.0,3.0,3.0,0,9.0,3.0,Neutral
103,1.0,1.0,1.0,1,3.0,1.0,Not satisfied
104,5.0,5.0,5.0,1,15.0,5.0,Satisfied
105,3.0,3.0,3.0,1,9.0,3.0,Neutral
106,2.0,2.0,2.0,1,6.0,2.0,Not satisfied
107,2.0,2.0,2.0,0,6.0,2.0,Not satisfied
108,4.0,4.0,4.0,1,12.0,4.0,Satisfied
109,4.0,4.0,4.0,1,12.0,4.0,Satisfied
110,3.0,3.0,3.0,1,9.0,3.0,Neutral
111,5.0,5.0,5.0,1,15.0,5.0,Satisfied
112,3.0,3.0,3.0,0,9.0,3.0,Neutral
113,1.0,1.0,1.0,1,3.0,1.0,Not satisfied
114,5.0,5.0,5.0,1,15.0,5.0,Satisfied
115,5.0,5.0,5.0,1,15.0,5.0,Satisfied
116,2.0,2.0,2.0,1,6.0,2.0,Not satisfied
117,1.0,1.0,1.0,1,3.0,1.0,Not satisfied
118,5.0,5.0,5.0,1,15.0,5.0,Satisfied
119,2.0,2.0,2.0,0,6.0,2.0,Not satisfied
120,3.0,3.0,3.0,1,9.0,3.0,Neutral
121,5.0,5.0,5.0,1,15.0,5.0,Satisfied
122,3.0,3.0,3.0,1,9.0,3.0,Neutral
123,4.0,4.0,4.0,1,12.0,4.0,Satisfied
124,5.0,5.0,5.0,1,15.0,5.0,Satisfied
125,2.0,2.0,2.0,1,6.0,2.0,Not satisfied
126,5.0,5.0,5.0,1,15.0,5.0,Satisfied
127,1.0,1.0,1.0,1,3.0,1.0,Not satisfied
128,3.0,3.0,3.0,0,9.0,3.0,Neutral
129,5.0,5.0,5.0,1,15.0,5.0,Satisfied
130,3.0,3.0,3.0,0,9.0,3.0,Neutral
131,5.0,5.0,5.0,1,15.0,5.0,Satisfied
132,2.0,2.0,2.0,1,6.0,2.0,Not satisfied
133,4.0,4.0,4.0,0,12.0,4.0,Satisfied
134,3.0,3.0,3.0,1,9.0,3.0,Neutral
135,1.0,1.0,1.0,1,3.0,1.0,Not satisfied
136,5.0,5.0,5.0,1,15.0,5.0,Satisfied
137,2.0,2.0,2.0,1,6.0,2.0,Not satisfied
138,4.0,4.0,4.0,0,12.0,4.0,Satisfied
139,5.0,5.0,5.0,1,15.0,5.0,Satisfied
140,2.0,2.0,2.0,1,6.0,2.0,Not satisfied
141,5.0,5.0,5.0,1,15.0,5.0,Satisfied
142,3.0,3.0,3.0,0,9.0,3.0,Neutral
143,1.0,1.0,1.0,1,3.0,1.0,Not satisfied
144,5.0,5.0,5.0,1,15.0,5.0,Satisfied
145,3.0,3.0,3.0,1,9.0,3.0,Neutral
146,2.0,2.0,2.0,1,6.0,2.0,Not satisfied
147,2.0,2.0,2.0,0,6.0,2.0,Not satisfied
148,4.0,4.0,4.0,1,12.0,4.0,Satisfied
149,4.0,4.0,4.0,1,12.0,4.0,Satisfied
150,3.0,3.0,3.0,1,9.0,3.0,Neutral
151,5.0,5.0,5.0,1,15.0,5.0,Satisfied
152,3.0,3.0,3.0,0,9.0,3.0,Neutral
153,1.0,1.0,1.0,1,3.0,1.0,Not satisfied
154,5.0,5.0,5.0,1,15.0,5.0,Satisfied
155,5.0,5.0,5.0,1,15.0,5.0,Satisfied
156,2.0,2.0,2.0,1,6.0,2.0,Not satisfied
157,1.0,1.0,1.0,1,3.0,1.0,Not satisfied
158,5.0,5.0,5.0,1,15.0,5.0,Satisfied
159,2.0,2.0,2.0,0,6.0,2.0,Not satisfied
160,3.0,3.0,3.0,1,9.0,3.0,Neutral
161,5.0,5.0,5.0,1,15.0,5.0,Satisfied
162,3.0,3.0,3.0,1,9.0,3.0,Neutral
163,4.0,4.0,4.0,1,12.0,4.0,Satisfied
164,5.0,5.0,5.0,1,15.0,5.0,Satisfied
165,2.0,2.0,2.0,1,6.0,2.0,Not satisfied
166,5.0,5.0,5.0,1,15.0,5.0,Satisfied
167,1.0,1.0,1.0,1,3.0,1.0,Not satisfied
168,3.0,3.0,3.0,0,9.0,3.0,Neutral
169,5.0,5.0,5.0,1,15.0,5.0,Satisfied
170,3.0,3.0,3.0,0,9.0,3.0,Neutral
171,5.0,5.0,5.0,1,15.0,5.0,Satisfied
172,2.0,2.0,2.0,1,6.0,2.0,Not satisfied
173,4.0,4.0,4.0,0,12.0,4.0,Satisfied
174,3.0,3.0,3.0,1,9.0,3.0,Neutral
175,1.0,1.0,1.0,1,3.0,1.0,Not satisfied
176,5.0,5.0,5.0,1,15.0,5.0,Satisfied
177,2.0,2.0,2.0,1,6.0,2.0,Not satisfied
178,4.0,4.0,4.0,0,12.0,4.0,Satisfied
179,5.0,5.0,5.0,1,15.0,5.0,Satisfied
180,2.0,2.0,2.0,1,6.0,2.0,Not satisfied
181,5.0,5.0,5.0,1,15.0,5.0,Satisfied
182,3.0,3.0,3.0,0,9.0,3.0,Neutral
183,1.0,1.0,1.0,1,3.0,1.0,Not satisfied
184,5.0,5.0,5.0,1,15.0,5.0,Satisfied
185,3.0,3.0,3.0,1,9.0,3.0,Neutral
186,2.0,2.0,2.0,1,6.0,2.0,Not satisfied
187,2.0,2.0,2.0,0,6.0,2.0,Not satisfied
188,4.0,4.0,4.0,1,12.0,4.0,Satisfied
189,4.0,4.0,4.0,1,12.0,4.0,Satisfied
190,3.0,3.0,3.0,1,9.0,3.0,Neutral
191,5.0,5.0,5.0,1,15.0,5.0,Satisfied
192,3.0,3.0,3.0,0,9.0,3.0,Neutral
193,1.0,1.0,1.0,1,3.0,1.0,Not satisfied
194,5.0,5.0,5.0,1,15.0,5.0,Satisfied
195,5.0,5.0,5.0,1,15.0,5.0,Satisfied
196,2.0,2.0,2.0,1,6.0,2.0,Not satisfied
197,1.0,1.0,1.0,1,3.0,1.0,Not satisfied
198,5.0,5.0,5.0,1,15.0,5.0,Satisfied
199,2.0,2.0,2.0,0,6.0,2.0,Not satisfied
200,3.0,3.0,3.0,1,9.0,3.0,Neutral
201,5.0,5.0,5.0,1,15.0,5.0,Satisfied
202,3.0,3.0,3.0,1,9.0,3.0,Neutral
203,4.0,4.0,4.0,1,12.0,4.0,Satisfied
204,5.0,5.0,5.0,1,15.0,5.0,Satisfied
205,2.0,2.0,2.0,1,6.0,2.0,Not satisfied
206,5.0,5.0,5.0,1,15.0,5.0,Satisfied
207,1.0,1.0,1.0,1,3.0,1.0,Not satisfied
208,3.0,3.0,3.0,0,9.0,3.0,Neutral
209,5.0,5.0,5.0,1,15.0,5.0,Satisfied
210,3.0,3.0,3.0,0,9.0,3.0,Neutral
211,5.0,5.0,5.0,1,15.0,5.0,Satisfied
212,2.0,2.0,2.0,1,6.0,2.0,Not satisfied
213,4.0,4.0,4.0,0,12.0,4.0,Satisfied
214,3.0,3.0,3.0,1,9.0,3.0,Neutral
215,1.0,1.0,1.0,1,3.0,1.0,Not satisfied
216,5.0,5.0,5.0,1,15.0,5.0,Satisfied
217,2.0,2.0,2.0,1,6.0,2.0,Not satisfied
218,4.0,4.0,4.0,0,12.0,4.0,Satisfied
219,5.0,5.0,5.0,1,15.0,5.0,Satisfied
220,2.0,2.0,2.0,1,6.0,2.0,Not satisfied
221,5.0,5.0,5.0,1,15.0,5.0,Satisfied
222,3.0,3.0,3.0,0,9.0,3.0,Neutral
223,1.0,1.0,1.0,1,3.0,1.0,Not satisfied
224,5.0,5.0,5.0,1,15.0,5.0,Satisfied
225,3.0,3.0,3.0,1,9.0,3.0,Neutral
226,2.0,2.0,2.0,1,6.0,2.0,Not satisfied
227,2.0,2.0,2.0,0,6.0,2.0,Not satisfied
228,4.0,4.0,4.0,1,12.0,4.0,Satisfied
229,4.0,4.0,4.0,1,12.0,4.0,Satisfied
230,3.0,3.0,3.0,1,9.0,3.0,Neutral
231,5.0,5.0,5.0,1,15.0,5.0,Satisfied
232,3.0,3.0,3.0,0,9.0,3.0,Neutral
233,1.0,1.0,1.0,1,3.0,1.0,Not satisfied
234,5.0,5.0,5.0,1,15.0,5.0,Satisfied
235,5.0,5.0,5.0,1,15.0,5.0,Satisfied
236,2.0,2.0,2.0,1,6.0,2.0,Not satisfied
237,1.0,1.0,1.0,1,3.0,1.0,Not satisfied
238,5.0,5.0,5.0,1,15.0,5.0,Satisfied
239,2.0,2.0,2.0,0,6.0,2.0,Not satisfied
240,3.0,3.0,3.0,1,9.0,3.0,Neutral
241,5.0,5.0,5.0,1,15.0,5.0,Satisfied
242,3.0,3.0,3.0,1,9.0,3.0,Neutral
243,4.0,4.0,4.0,1,12.0,4.0,Satisfied
244,5.0,5.0,5.0,1,15.0,5.0,Satisfied
245,2.0,2.0,2.0,1,6.0,2.0,Not satisfied
246,5.0,5.0,5.0,1,15.0,5.0,Satisfied
247,1.0,1.0,1.0,1,3.0,1.0,Not satisfied
248,3.0,3.0,3.0,0,9.0,3.0,Neutral
249,5.0,5.0,5.0,1,15.0,5.0,Satisfied
250,3.0,3.0,3.0,0,9.0,3.0,Neutral
251,5.0,5.0,5.0,1,15.0,5.0,Satisfied
252,2.0,2.0,2.0,1,6.0,2.0,Not satisfied
253,4.0,4.0,4.0,0,12.0,4.0,Satisfied
254,3.0,3.0,3.0,1,9.0,3.0,Neutral
255,1.0,1.0,1.0,1,3.0,1.0,Not satisfied
256,5.0,5.0,5.0,1,15.0,5.0,Satisfied
257,2.0,2.0,2.0,1,6.0,2.0,Not satisfied
258,4.0,4.0,4.0,0,12.0,4.0,Satisfied
259,5.0,5.0,5.0,1,15.0,5.0,Satisfied
260,2.0,2.0,2.0,1,6.0,2.0,Not satisfied
261,5.0,5.0,5.0,1,15.0,5.0,Satisfied
262,3.0,3.0,3.0,0,9.0,3.0,Neutral
263,1.0,1.0,1.0,1,3.0,1.0,Not satisfied
264,5.0,5.0,5.0,1,15.0,5.0,Satisfied
265,3.0,3.0,3.0,1,9.0,3.0,Neutral
266,2.0,2.0,2.0,1,6.0,2.0,Not satisfied
267,2.0,2.0,2.0,0,6.0,2.0,Not satisfied
268,4.0,4.0,4.0,1,12.0,4.0,Satisfied
269,4.0,4.0,4.0,1,12.0,4.0,Satisfied
270,3.0,3.0,3.0,1,9.0,3.0,Neutral
271,5.0,5.0,5.0,1,15.0,5.0,Satisfied
272,3.0,3.0,3.0,0,9.0,3.0,Neutral
273,1.0,1.0,1.0,1,3.0,1.0,Not satisfied
274,5.0,5.0,5.0,1,15.0,5.0,Satisfied
275,5.0,5.0,5.0,1,15.0,5.0,Satisfied
276,2.0,2.0,2.0,1,6.0,2.0,Not satisfied
277,1.0,1.0,1.0,1,3.0,1.0,Not satisfied
278,5.0,5.0,5.0,1,15.0,5.0,Satisfied
279,2.0,2.0,2.0,0,6.0,2.0,Not satisfied
280,3.0,3.0,3.0,1,9.0,3.0,Neutral
281,5.0,5.0,5.0,1,15.0,5.0,Satisfied
282,3.0,3.0,3.0,1,9.0,3.0,Neutral
283,4.0,4.0,4.0,1,12.0,4.0,Satisfied
284,5.0,5.0,5.0,1,15.0,5.0,Satisfied
285,2.0,2.0,2.0,1,6.0,2.0,Not satisfied
286,5.0,5.0,5.0,1,15.0,5.0,Satisfied
287,1.0,1.0,1.0,1,3.0,1.0,Not satisfied
288,3.0,3.0,3.0,0,9.0,3.0,Neutral
289,5.0,5.0,5.0,1,15.0,5.0,Satisfied
290,3.0,3.0,3.0,0,9.0,3.0,Neutral
291,5.0,5.0,5.0,1,15.0,5.0,Satisfied
292,2.0,2.0,2.0,1,6.0,2.0,Not satisfied
293,4.0,4.0,4.0,0,12.0,4.0,Satisfied
294,3.0,3.0,3.0,1,9.0,3.0,Neutral
295,1.0,1.0,1.0,1,3.0,1.0,Not satisfied
296,5.0,5.0,5.0,1,15.0,5.0,Satisfied
297,2.0,2.0,2.0,1,6.0,2.0,Not satisfied
298,4.0,4.0,4.0,0,12.0,4.0,Satisfied
299,5.0,5.0,5.0,1,15.0,5.0,Satisfied
300,2.0,2.0,2.0,1,6.0,2.0,Not satisfied
301,5.0,5.0,5.0,1,15.0,5.0,Satisfied
302,3.0,3.0,3.0,0,9.0,3.0,Neutral
303,1.0,1.0,1.0,1,3.0,1.0,Not satisfied
304,5.0,5.0,5.0,1,15.0,5.0,Satisfied
305,3.0,3.0,3.0,1,9.0,3.0,Neutral
306,2.0,2.0,2.0,1,6.0,2.0,Not satisfied
307,2.0,2.0,2.0,0,6.0,2.0,Not satisfied
308,4.0,4.0,4.0,1,12.0,4.0,Satisfied
309,4.0,4.0,4.0,1,12.0,4.0,Satisfied
310,3.0,3.0,3.0,1,9.0,3.0,Neutral
311,5.0,5.0,5.0,1,15.0,5.0,Satisfied
312,3.0,3.0,3.0,0,9.0,3.0,Neutral
313,1.0,1.0,1.0,1,3.0,1.0,Not satisfied
314,5.0,5.0,5.0,1,15.0,5.0,Satisfied
315,5.0,5.0,5.0,1,15.0,5.0,Satisfied
316,2.0,2.0,2.0,1,6.0,2.0,Not satisfied
317,1.0,1.0,1.0,1,3.0,1.0,Not satisfied
318,5.0,5.0,5.0,1,15.0,5.0,Satisfied
319,2.0,2.0,2.0,0,6.0,2.0,Not satisfied
320,3.0,3.0,3.0,1,9.0,3.0,Neutral
344,5.0,5.0,5.0,1,15.0,5.0,Satisfied
345,3.0,3.0,3.0,1,9.0,3.0,Neutral
346,4.0,2.0,2.0,1,8.0,2.6666666666666665,Satisfied
347,5.0,2.0,2.0,0,9.0,3.0,Neutral
348,2.0,4.0,4.0,1,10.0,3.3333333333333335,Satisfied
349,5.0,4.0,4.0,1,13.0,4.333333333333333,Satisfied
350,1.0,3.0,3.0,1,7.0,2.3333333333333335,Satisfied
351,3.0,5.0,5.0,1,13.0,4.333333333333333,Satisfied
352,5.0,3.0,3.0,0,11.0,3.6666666666666665,Satisfied
353,3.0,1.0,1.0,1,5.0,1.6666666666666667,Not satisfied
354,5.0,5.0,5.0,1,15.0,5.0,Satisfied
355,2.0,5.0,5.0,1,12.0,4.0,Satisfied
356,4.0,2.0,2.0,1,8.0,2.6666666666666665,Satisfied
357,3.0,1.0,1.0,1,5.0,1.6666666666666667,Not satisfied
358,1.0,5.0,5.0,1,11.0,3.6666666666666665,Satisfied
359,5.0,2.0,2.0,0,9.0,3.0,Neutral
360,2.0,3.0,3.0,1,8.0,2.6666666666666665,Satisfied
362,5.0,5.0,5.0,1,15.0,5.0,Satisfied
363,2.0,3.0,3.0,1,8.0,2.6666666666666665,Satisfied
364,5.0,4.0,4.0,1,13.0,4.333333333333333,Satisfied
365,3.0,5.0,5.0,1,13.0,4.333333333333333,Satisfied
366,1.0,2.0,2.0,1,5.0,1.6666666666666667,Not satisfied
367,5.0,5.0,5.0,1,15.0,5.0,Satisfied
368,3.0,1.0,1.0,0,5.0,1.6666666666666667,Not satisfied
369,2.0,3.0,3.0,1,8.0,2.6666666666666665,Satisfied
370,2.0,5.0,5.0,0,12.0,4.0,Satisfied
371,4.0,3.0,3.0,1,10.0,3.3333333333333335,Satisfied
372,4.0,5.0,5.0,1,14.0,4.666666666666667,Satisfied
373,3.0,2.0,2.0,0,7.0,2.3333333333333335,Satisfied
374,5.0,4.0,4.0,1,13.0,4.333333333333333,Satisfied
375,3.0,3.0,3.0,1,9.0,3.0,Neutral
376,1.0,1.0,1.0,1,3.0,1.0,Not satisfied
377,5.0,5.0,5.0,1,15.0,5.0,Satisfied
378,5.0,2.0,2.0,0,9.0,3.0,Neutral
379,2.0,4.0,4.0,1,10.0,3.3333333333333335,Satisfied
380,1.0,5.0,5.0,1,11.0,3.6666666666666665,Satisfied
381,5.0,2.0,2.0,1,9.0,3.0,Neutral
382,2.0,5.0,5.0,0,12.0,4.0,Satisfied
383,3.0,3.0,3.0,1,9.0,3.0,Neutral
384,5.0,1.0,1.0,1,7.0,2.3333333333333335,Satisfied
385,3.0,5.0,5.0,1,13.0,4.333333333333333,Satisfied
386,4.0,3.0,3.0,1,10.0,3.3333333333333335,Satisfied
387,5.0,2.0,2.0,0,9.0,3.0,Neutral
388,2.0,2.0,2.0,1,6.0,2.0,Not satisfied
389,5.0,4.0,4.0,1,13.0,4.333333333333333,Satisfied
390,1.0,4.0,4.0,1,9.0,3.0,Neutral
391,3.0,3.0,3.0,1,9.0,3.0,Neutral
392,5.0,5.0,5.0,0,15.0,5.0,Satisfied
393,3.0,3.0,3.0,1,9.0,3.0,Neutral
394,5.0,1.0,1.0,1,7.0,2.3333333333333335,Satisfied
395,2.0,5.0,5.0,1,12.0,4.0,Satisfied
396,4.0,5.0,5.0,1,14.0,4.666666666666667,Satisfied
397,3.0,2.0,2.0,1,7.0,2.3333333333333335,Satisfied
398,1.0,1.0,1.0,1,3.0,1.0,Not satisfied
399,5.0,5.0,5.0,0,15.0,5.0,Satisfied
400,2.0,2.0,2.0,1,6.0,2.0,Not satisfied
401,4.0,3.0,3.0,1,10.0,3.3333333333333335,Satisfied
402,5.0,5.0,5.0,1,15.0,5.0,Satisfied
403,2.0,3.0,3.0,1,8.0,2.6666666666666665,Satisfied
404,5.0,4.0,4.0,1,13.0,4.333333333333333,Satisfied
405,3.0,5.0,5.0,1,13.0,4.333333333333333,Satisfied
406,1.0,2.0,2.0,1,5.0,1.6666666666666667,Not satisfied
407,5.0,5.0,5.0,1,15.0,5.0,Satisfied
408,3.0,1.0,1.0,0,5.0,1.6666666666666667,Not satisfied
409,2.0,3.0,3.0,1,8.0,2.6666666666666665,Satisfied
410,2.0,5.0,5.0,0,12.0,4.0,Satisfied
411,4.0,3.0,3.0,1,10.0,3.3333333333333335,Satisfied
412,4.0,5.0,5.0,1,14.0,4.666666666666667,Satisfied
413,3.0,2.0,2.0,0,7.0,2.3333333333333335,Satisfied
414,5.0,4.0,4.0,1,13.0,4.333333333333333,Satisfied
415,3.0,3.0,3.0,1,9.0,3.0,Neutral
416,1.0,1.0,1.0,1,3.0,1.0,Not satisfied
417,5.0,5.0,5.0,1,15.0,5.0,Satisfied
418,5.0,2.0,2.0,0,9.0,3.0,Neutral
419,2.0,4.0,4.0,1,10.0,3.3333333333333335,Satisfied
420,1.0,5.0,5.0,1,11.0,3.6666666666666665,Satisfied
421,5.0,2.0,2.0,1,9.0,3.0,Neutral
422,2.0,5.0,5.0,0,12.0,4.0,Satisfied
423,3.0,3.0,3.0,1,9.0,3.0,Neutral
424,5.0,1.0,1.0,1,7.0,2.3333333333333335,Satisfied
425,3.0,5.0,5.0,1,13.0,4.333333333333333,Satisfied
426,4.0,3.0,3.0,1,10.0,3.3333333333333335,Satisfied
427,5.0,2.0,2.0,0,9.0,3.0,Neutral
428,2.0,2.0,2.0,1,6.0,2.0,Not satisfied
429,5.0,4.0,4.0,1,13.0,4.333333333333333,Satisfied
430,1.0,4.0,4.0,1,9.0,3.0,Neutral
431,3.0,3.0,3.0,1,9.0,3.0,Neutral
432,5.0,5.0,5.0,0,15.0,5.0,Satisfied
433,3.0,3.0,3.0,1,9.0,3.0,Neutral
434,5.0,1.0,1.0,1,7.0,2.3333333333333335,Satisfied
435,2.0,5.0,5.0,1,12.0,4.0,Satisfied
436,4.0,5.0,5.0,1,14.0,4.666666666666667,Satisfied
437,3.0,2.0,2.0,1,7.0,2.3333333333333335,Satisfied
438,1.0,1.0,1.0,1,3.0,1.0,Not satisfied
439,5.0,5.0,5.0,0,15.0,5.0,Satisfied
440,2.0,2.0,2.0,1,6.0,2.0,Not satisfied
441,4.0,3.0,3.0,1,10.0,3.3333333333333335,Satisfied
442,5.0,5.0,5.0,1,15.0,5.0,Satisfied
443,2.0,3.0,3.0,1,8.0,2.6666666666666665,Satisfied
444,5.0,4.0,4.0,1,13.0,4.333333333333333,Satisfied
445,3.0,5.0,5.0,1,13.0,4.333333333333333,Satisfied
446,1.0,2.0,2.0,1,5.0,1.6666666666666667,Not satisfied
447,5.0,5.0,5.0,1,15.0,5.0,Satisfied
448,3.0,1.0,1.0,0,5.0,1.6666666666666667,Not satisfied
449,2.0,3.0,3.0,1,8.0,2.6666666666666665,Satisfied
450,2.0,5.0,5.0,0,12.0,4.0,Satisfied
451,4.0,3.0,3.0,1,10.0,3.3333333333333335,Satisfied
452,4.0,5.0,5.0,1,14.0,4.666666666666667,Satisfied
453,3.0,2.0,2.0,0,7.0,2.3333333333333335,Satisfied
454,5.0,4.0,4.0,1,13.0,4.333333333333333,Satisfied
455,3.0,3.0,3.0,1,9.0,3.0,Neutral
456,1.0,1.0,1.0,1,3.0,1.0,Not satisfied
457,5.0,5.0,5.0,1,15.0,5.0,Satisfied
458,5.0,2.0,2.0,0,9.0,3.0,Neutral
459,2.0,4.0,4.0,1,10.0,3.3333333333333335,Satisfied
460,1.0,5.0,5.0,1,11.0,3.6666666666666665,Satisfied
461,5.0,2.0,2.0,1,9.0,3.0,Neutral
462,2.0,5.0,5.0,0,12.0,4.0,Satisfied
463,3.0,3.0,3.0,1,9.0,3.0,Neutral
464,5.0,1.0,1.0,1,7.0,2.3333333333333335,Satisfied
465,3.0,5.0,5.0,1,13.0,4.333333333333333,Satisfied
466,4.0,3.0,3.0,1,10.0,3.3333333333333335,Satisfied
467,5.0,2.0,2.0,0,9.0,3.0,Neutral
468,2.0,2.0,2.0,1,6.0,2.0,Not satisfied
469,5.0,4.0,4.0,1,13.0,4.333333333333333,Satisfied
470,1.0,4.0,4.0,1,9.0,3.0,Neutral
